earlier_rule	later_rule	commute
RootNounNomZLoss	PWGmcEarlyIApocope	yes
RootNounNomZLoss	PWGmcFinalOrLowering	yes
RootNounNomZLoss	PWGmcCoronalWAssimilation	yes
RootNounNomZLoss	PWGmcIjContraction	no
RootNounNomZLoss	PWGmcJGemination	yes
RootNounNomZLoss	PWGmcSyllabicJ	yes
RootNounNomZLoss	PNWGmcPreconsonantalXLoss	no
RootNounNomZLoss	PWGmcDentalHardening	yes
RootNounNomZLoss	EAFFinalZDeletion	yes
RootNounNomZLoss	PWGmcUnstressedWordFinalIApocope	yes
RootNounNomZLoss	PWGmcFinalBareALoss	no
RootNounNomZLoss	PWGmcSurvivingBimoricOUnrounding	yes
RootNounNomZLoss	SieversLawSyncope	no
PNWGmcUnstressedAiMonophthongization	PWGmcEarlyIApocope	no
PNWGmcUnstressedAiMonophthongization	PWGmcFinalOrLowering	yes
PNWGmcUnstressedAiMonophthongization	PWGmcCoronalWAssimilation	yes
PNWGmcUnstressedAiMonophthongization	PWGmcIjContraction	yes
PNWGmcUnstressedAiMonophthongization	PWGmcJGemination	yes
PNWGmcUnstressedAiMonophthongization	PWGmcSyllabicJ	yes
PNWGmcUnstressedAiMonophthongization	PNWGmcPreconsonantalXLoss	yes
PNWGmcUnstressedAiMonophthongization	PWGmcDentalHardening	yes
PNWGmcUnstressedAiMonophthongization	EAFFinalZDeletion	yes
PNWGmcUnstressedAiMonophthongization	PWGmcUnstressedWordFinalIApocope	yes
PNWGmcUnstressedAiMonophthongization	PWGmcFinalBareALoss	yes
PNWGmcUnstressedAiMonophthongization	PWGmcSurvivingBimoricOUnrounding	yes
PNWGmcUnstressedAiMonophthongization	SieversLawSyncope	yes
PNWGmcAToUBeforeM	PWGmcEarlyIApocope	no
PNWGmcAToUBeforeM	PWGmcFinalOrLowering	yes
PNWGmcAToUBeforeM	PWGmcCoronalWAssimilation	yes
PNWGmcAToUBeforeM	PWGmcIjContraction	yes
PNWGmcAToUBeforeM	PWGmcJGemination	yes
PNWGmcAToUBeforeM	PWGmcSyllabicJ	no
PNWGmcAToUBeforeM	PNWGmcPreconsonantalXLoss	yes
PNWGmcAToUBeforeM	PWGmcDentalHardening	yes
PNWGmcAToUBeforeM	EAFFinalZDeletion	no
PNWGmcAToUBeforeM	PWGmcUnstressedWordFinalIApocope	yes
PNWGmcAToUBeforeM	PWGmcFinalBareALoss	no
